CarID,city mpg,Sum of DimCar,Driven_Wheels,Engine Cylinders,Engine Fuel Type,Engine HP,highway MPG,Market Category,Make,Model,MSRP,Number of Doors,Popularity,Transmission Type,Vehicle Size,Vehicle Style,Year
11,19,11,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,27,"CROSSOVER,LUXURY",ACURA,MDX,44515,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
12,18,12,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,26,"CROSSOVER,LUXURY",ACURA,MDX,46515,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
13,19,13,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,27,"CROSSOVER,LUXURY",ACURA,MDX,49440,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
14,19,14,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,27,"CROSSOVER,LUXURY",ACURA,MDX,43015,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
15,20,15,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,28,"CROSSOVER,LUXURY",ACURA,MDX,54780,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2015
16,18,16,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,27,"CROSSOVER,LUXURY",ACURA,MDX,56780,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2015
17,20,17,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,28,"CROSSOVER,LUXURY",ACURA,MDX,46840,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2015
18,20,18,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,28,"CROSSOVER,LUXURY",ACURA,MDX,48840,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2015
19,20,19,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,28,"CROSSOVER,LUXURY",ACURA,MDX,42565,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2015
20,18,20,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,27,"CROSSOVER,LUXURY",ACURA,MDX,50840,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2015
21,18,21,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,27,"CROSSOVER,LUXURY",ACURA,MDX,48840,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2015
22,18,22,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,27,"CROSSOVER,LUXURY",ACURA,MDX,44565,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2015
23,22,23,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),201,31,LUXURY,ACURA,TSX,31510,4,204,AUTOMATIC,MIDSIZE,SEDAN,2013
24,22,24,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),201,31,LUXURY,ACURA,TSX,30510,4,204,AUTOMATIC,MIDSIZE,SEDAN,2013
25,21,25,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),201,29,LUXURY,ACURA,TSX,31010,4,204,MANUAL,MIDSIZE,SEDAN,2012
26,22,26,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),201,31,LUXURY,ACURA,TSX,31010,4,204,AUTOMATIC,MIDSIZE,SEDAN,2012
27,16,27,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),300,23,"CROSSOVER,HATCHBACK,LUXURY",ACURA,ZDX,50920,4,204,AUTOMATIC,MIDSIZE,4DR HATCHBACK,2013
28,22,28,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,140,29,LUXURY,ACURA,INTEGRA,2827,4,204,MANUAL,COMPACT,SEDAN,1999
29,19,29,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,27,"CROSSOVER,LUXURY",ACURA,MDX,48640,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
30,22,30,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,140,29,LUXURY,ACURA,INTEGRA,3000,4,204,MANUAL,COMPACT,SEDAN,1999
31,19,31,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,27,"CROSSOVER,LUXURY",ACURA,MDX,50640,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
32,19,32,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,26,"CROSSOVER,LUXURY",ACURA,MDX,56400,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2017
33,21,33,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,140,28,LUXURY,ACURA,INTEGRA,21000,4,204,AUTOMATIC,COMPACT,SEDAN,2001
34,21,34,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,140,28,"HATCHBACK,LUXURY",ACURA,INTEGRA,21850,2,204,AUTOMATIC,COMPACT,2DR HATCHBACK,2001
35,22,35,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,140,28,LUXURY,ACURA,INTEGRA,21600,4,204,MANUAL,COMPACT,SEDAN,2001
36,21,36,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,140,28,"HATCHBACK,LUXURY",ACURA,INTEGRA,20200,2,204,AUTOMATIC,COMPACT,2DR HATCHBACK,2001
37,22,37,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,140,28,"HATCHBACK,LUXURY",ACURA,INTEGRA,19400,2,204,MANUAL,COMPACT,2DR HATCHBACK,2001
38,22,38,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,140,28,"HATCHBACK,LUXURY",ACURA,INTEGRA,21050,2,204,MANUAL,COMPACT,2DR HATCHBACK,2001
39,22,39,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (REQUIRED),170,28,"LUXURY,PERFORMANCE",ACURA,INTEGRA,22600,4,204,MANUAL,COMPACT,SEDAN,2001
40,22,40,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,140,28,"HATCHBACK,LUXURY",ACURA,INTEGRA,3086,2,204,MANUAL,COMPACT,2DR HATCHBACK,2000
41,22,41,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,195,28,"HATCHBACK,FACTORY TUNER,LUXURY,PERFORMANCE",ACURA,INTEGRA,7398,2,204,MANUAL,COMPACT,2DR HATCHBACK,2000
42,22,42,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,140,28,LUXURY,ACURA,INTEGRA,3222,4,204,MANUAL,COMPACT,SEDAN,2000
43,22,43,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,170,28,"HATCHBACK,LUXURY,PERFORMANCE",ACURA,INTEGRA,3652,2,204,MANUAL,COMPACT,2DR HATCHBACK,2000
44,22,44,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,170,28,"LUXURY,PERFORMANCE",ACURA,INTEGRA,3622,4,204,MANUAL,COMPACT,SEDAN,2000
45,22,45,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,140,28,LUXURY,ACURA,INTEGRA,3012,4,204,MANUAL,COMPACT,SEDAN,2000
46,22,46,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,140,28,"HATCHBACK,LUXURY",ACURA,INTEGRA,3130,2,204,MANUAL,COMPACT,2DR HATCHBACK,2000
47,22,47,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,140,29,"HATCHBACK,LUXURY",ACURA,INTEGRA,2799,2,204,MANUAL,COMPACT,2DR HATCHBACK,1999
48,20,48,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),279,28,"CROSSOVER,LUXURY",ACURA,RDX,36870,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2017
49,19,49,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),279,27,"CROSSOVER,LUXURY",ACURA,RDX,42070,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2017
50,20,50,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),279,28,"CROSSOVER,LUXURY",ACURA,RDX,42220,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2017
51,20,51,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),279,28,"CROSSOVER,LUXURY",ACURA,RDX,39270,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2017
52,19,52,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),279,27,"CROSSOVER,LUXURY",ACURA,RDX,38370,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2017
53,19,53,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),279,28,"CROSSOVER,LUXURY",ACURA,RDX,43520,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
54,19,54,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),279,28,"CROSSOVER,LUXURY",ACURA,RDX,40570,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
55,20,55,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),279,29,"CROSSOVER,LUXURY",ACURA,RDX,42020,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
56,20,56,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),279,29,"CROSSOVER,LUXURY",ACURA,RDX,40370,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
57,19,57,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),279,28,"CROSSOVER,LUXURY",ACURA,RDX,38170,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
58,20,58,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),279,29,"CROSSOVER,LUXURY",ACURA,RDX,35370,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
59,20,59,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),279,29,"CROSSOVER,LUXURY",ACURA,RDX,39070,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
60,19,60,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,26,"CROSSOVER,LUXURY",ACURA,MDX,57230,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
61,22,61,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,140,29,"HATCHBACK,LUXURY",ACURA,INTEGRA,2912,2,204,MANUAL,COMPACT,2DR HATCHBACK,1999
62,22,62,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,170,28,"LUXURY,PERFORMANCE",ACURA,INTEGRA,3381,4,204,MANUAL,COMPACT,SEDAN,1999
63,18,63,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (REQUIRED),305,26,"LUXURY,PERFORMANCE",ACURA,TL,42985,4,204,AUTOMATIC,MIDSIZE,SEDAN,2012
64,24,64,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),206,35,LUXURY,ACURA,TLX,35750,4,204,AUTOMATED_MANUAL,MIDSIZE,SEDAN,2016
65,21,65,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,31,LUXURY,ACURA,TLX,44800,4,204,AUTOMATIC,MIDSIZE,SEDAN,2016
66,21,66,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,34,LUXURY,ACURA,TLX,39375,4,204,AUTOMATIC,MIDSIZE,SEDAN,2016
67,22,67,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,170,28,"HATCHBACK,LUXURY,PERFORMANCE",ACURA,INTEGRA,3355,2,204,MANUAL,COMPACT,2DR HATCHBACK,1999
68,19,68,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),279,28,"CROSSOVER,LUXURY",ACURA,RDX,41870,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
69,19,69,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),279,28,"CROSSOVER,LUXURY",ACURA,RDX,36870,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
70,20,70,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),279,29,"CROSSOVER,LUXURY",ACURA,RDX,36670,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2016
71,21,71,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,34,LUXURY,ACURA,TLX,35350,4,204,AUTOMATIC,MIDSIZE,SEDAN,2017
72,21,72,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,34,LUXURY,ACURA,TLX,39400,4,204,AUTOMATIC,MIDSIZE,SEDAN,2017
73,21,73,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,31,LUXURY,ACURA,TLX,41600,4,204,AUTOMATIC,MIDSIZE,SEDAN,2017
74,24,74,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),206,35,LUXURY,ACURA,TLX,31900,4,204,AUTOMATED_MANUAL,MIDSIZE,SEDAN,2017
75,22,75,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),201,31,LUXURY,ACURA,TSX,33110,4,204,AUTOMATIC,MIDSIZE,SEDAN,2012
76,19,76,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (REQUIRED),280,28,"LUXURY,PERFORMANCE",ACURA,TSX,38650,4,204,AUTOMATIC,MIDSIZE,SEDAN,2012
77,19,77,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (REQUIRED),280,28,"LUXURY,PERFORMANCE",ACURA,TSX,35550,4,204,AUTOMATIC,MIDSIZE,SEDAN,2012
78,22,78,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),201,31,LUXURY,ACURA,TSX,30010,4,204,AUTOMATIC,MIDSIZE,SEDAN,2012
79,22,79,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),201,30,LUXURY,ACURA,TSX SPORT WAGON,31985,4,204,AUTOMATIC,MIDSIZE,WAGON,2014
80,22,80,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),201,30,LUXURY,ACURA,TSX SPORT WAGON,35635,4,204,AUTOMATIC,MIDSIZE,WAGON,2014
81,22,81,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),201,30,LUXURY,ACURA,TSX SPORT WAGON,31860,4,204,AUTOMATIC,MIDSIZE,WAGON,2013
82,22,82,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),201,30,LUXURY,ACURA,TSX SPORT WAGON,35510,4,204,AUTOMATIC,MIDSIZE,WAGON,2013
83,22,83,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),201,30,LUXURY,ACURA,TSX SPORT WAGON,31360,4,204,AUTOMATIC,MIDSIZE,WAGON,2012
84,22,84,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),201,30,LUXURY,ACURA,TSX SPORT WAGON,35010,4,204,AUTOMATIC,MIDSIZE,WAGON,2012
85,21,85,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,31,LUXURY,ACURA,TLX,44800,4,204,AUTOMATIC,MIDSIZE,SEDAN,2017
86,24,86,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),206,35,LUXURY,ACURA,TLX,35950,4,204,AUTOMATED_MANUAL,MIDSIZE,SEDAN,2017
87,21,87,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,34,LUXURY,ACURA,TLX,42600,4,204,AUTOMATIC,MIDSIZE,SEDAN,2017
88,24,88,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),206,35,LUXURY,ACURA,TLX,31695,4,204,AUTOMATED_MANUAL,MIDSIZE,SEDAN,2016
89,20,89,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),273,28,"CROSSOVER,LUXURY",ACURA,RDX,35095,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2015
90,20,90,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),273,28,"CROSSOVER,LUXURY",ACURA,RDX,38795,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2015
91,21,91,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,34,LUXURY,ACURA,TLX,42600,4,204,AUTOMATIC,MIDSIZE,SEDAN,2016
92,21,92,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,34,LUXURY,ACURA,TLX,35320,4,204,AUTOMATIC,MIDSIZE,SEDAN,2016
93,21,93,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,31,LUXURY,ACURA,TLX,41575,4,204,AUTOMATIC,MIDSIZE,SEDAN,2016
94,21,94,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,34,LUXURY,ACURA,TLX,35320,4,204,AUTOMATIC,MIDSIZE,SEDAN,2015
95,20,95,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (REQUIRED),280,29,"LUXURY,PERFORMANCE",ACURA,TL,41635,4,204,AUTOMATIC,MIDSIZE,SEDAN,2012
96,18,96,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (REQUIRED),305,26,"LUXURY,PERFORMANCE",ACURA,TL,39255,4,204,AUTOMATIC,MIDSIZE,SEDAN,2012
97,18,97,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (REQUIRED),305,26,"LUXURY,PERFORMANCE",ACURA,TL,45185,4,204,AUTOMATIC,MIDSIZE,SEDAN,2012
98,20,98,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (REQUIRED),280,29,LUXURY,ACURA,TL,35705,4,204,AUTOMATIC,MIDSIZE,SEDAN,2012
99,17,99,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (REQUIRED),305,25,"LUXURY,PERFORMANCE",ACURA,TL,42985,4,204,MANUAL,MIDSIZE,SEDAN,2012
100,20,100,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (REQUIRED),280,29,LUXURY,ACURA,TL,39435,4,204,AUTOMATIC,MIDSIZE,SEDAN,2012
101,20,101,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),280,29,"LUXURY,PERFORMANCE",ACURA,TL,39635,4,204,AUTOMATIC,MIDSIZE,SEDAN,2013
102,18,102,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),305,26,"LUXURY,PERFORMANCE",ACURA,TL,45385,4,204,AUTOMATIC,MIDSIZE,SEDAN,2013
103,18,103,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),305,26,"LUXURY,PERFORMANCE",ACURA,TL,39455,4,204,AUTOMATIC,MIDSIZE,SEDAN,2013
104,17,104,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),305,25,"LUXURY,PERFORMANCE",ACURA,TL,43185,4,204,MANUAL,MIDSIZE,SEDAN,2013
105,20,105,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),280,29,"LUXURY,PERFORMANCE",ACURA,TL,41835,4,204,AUTOMATIC,MIDSIZE,SEDAN,2013
106,18,106,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),305,26,"LUXURY,PERFORMANCE",ACURA,TL,43185,4,204,AUTOMATIC,MIDSIZE,SEDAN,2013
107,20,107,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),280,29,LUXURY,ACURA,TL,35905,4,204,AUTOMATIC,MIDSIZE,SEDAN,2013
108,21,108,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,140,28,LUXURY,ACURA,INTEGRA,22400,4,204,AUTOMATIC,COMPACT,SEDAN,2001
109,20,109,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),280,29,"LUXURY,PERFORMANCE",ACURA,TL,37405,4,204,AUTOMATIC,MIDSIZE,SEDAN,2013
110,20,110,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),280,29,LUXURY,ACURA,TL,36030,4,204,AUTOMATIC,MIDSIZE,SEDAN,2014
111,17,111,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),305,25,"LUXURY,PERFORMANCE",ACURA,TL,43310,4,204,MANUAL,MIDSIZE,SEDAN,2014
112,18,112,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),305,26,"LUXURY,PERFORMANCE",ACURA,TL,39580,4,204,AUTOMATIC,MIDSIZE,SEDAN,2014
113,20,113,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),280,29,"LUXURY,PERFORMANCE",ACURA,TL,39760,4,204,AUTOMATIC,MIDSIZE,SEDAN,2014
114,18,114,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),305,26,"LUXURY,PERFORMANCE",ACURA,TL,45510,4,204,AUTOMATIC,MIDSIZE,SEDAN,2014
115,18,115,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),305,26,"LUXURY,PERFORMANCE",ACURA,TL,43310,4,204,AUTOMATIC,MIDSIZE,SEDAN,2014
116,20,116,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),280,29,"LUXURY,PERFORMANCE",ACURA,TL,41960,4,204,AUTOMATIC,MIDSIZE,SEDAN,2014
117,21,117,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,31,LUXURY,ACURA,TLX,41575,4,204,AUTOMATIC,MIDSIZE,SEDAN,2015
118,24,118,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),206,35,LUXURY,ACURA,TLX,35500,4,204,AUTOMATED_MANUAL,MIDSIZE,SEDAN,2015
119,21,119,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,34,LUXURY,ACURA,TLX,42600,4,204,AUTOMATIC,MIDSIZE,SEDAN,2015
120,21,120,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,34,LUXURY,ACURA,TLX,39375,4,204,AUTOMATIC,MIDSIZE,SEDAN,2015
121,21,121,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),290,31,LUXURY,ACURA,TLX,44800,4,204,AUTOMATIC,MIDSIZE,SEDAN,2015
122,24,122,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),206,35,LUXURY,ACURA,TLX,31445,4,204,AUTOMATED_MANUAL,MIDSIZE,SEDAN,2015
123,20,123,FRONT WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),280,29,"LUXURY,PERFORMANCE",ACURA,TL,37530,4,204,AUTOMATIC,MIDSIZE,SEDAN,2014
124,19,124,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (RECOMMENDED),273,27,"CROSSOVER,LUXURY",ACURA,RDX,40195,4,204,AUTOMATIC,MIDSIZE,4DR SUV,2015
125,22,125,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (REQUIRED),195,28,"HATCHBACK,FACTORY TUNER,LUXURY,PERFORMANCE",ACURA,INTEGRA,24450,2,204,MANUAL,COMPACT,2DR HATCHBACK,2001
126,22,126,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (REQUIRED),170,28,"HATCHBACK,LUXURY,PERFORMANCE",ACURA,INTEGRA,22300,2,204,MANUAL,COMPACT,2DR HATCHBACK,2001
127,16,127,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (REQUIRED),300,23,"CROSSOVER,HATCHBACK,LUXURY",ACURA,ZDX,50520,4,204,AUTOMATIC,MIDSIZE,4DR HATCHBACK,2011
128,16,128,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (REQUIRED),300,23,"CROSSOVER,HATCHBACK,LUXURY",ACURA,ZDX,56570,4,204,AUTOMATIC,MIDSIZE,4DR HATCHBACK,2011
129,16,129,ALL WHEEL DRIVE,6,PREMIUM UNLEADED (REQUIRED),300,23,"CROSSOVER,HATCHBACK,LUXURY",ACURA,ZDX,46020,4,204,AUTOMATIC,MIDSIZE,4DR HATCHBACK,2011
130,15,130,FRONT WHEEL DRIVE,6,REGULAR UNLEADED,230,23,"LUXURY,PERFORMANCE",ACURA,LEGEND,2000,2,204,MANUAL,MIDSIZE,COUPE,1993
131,24,131,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),150,35,LUXURY,ACURA,ILX,29350,4,204,AUTOMATIC,COMPACT,SEDAN,2015
132,24,132,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),150,35,LUXURY,ACURA,ILX,31750,4,204,AUTOMATIC,COMPACT,SEDAN,2015
133,22,133,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),201,31,"LUXURY,PERFORMANCE",ACURA,ILX,29350,4,204,MANUAL,COMPACT,SEDAN,2015
134,39,134,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (RECOMMENDED),111,38,"LUXURY,HYBRID",ACURA,ILX HYBRID,34600,4,204,AUTOMATIC,COMPACT,SEDAN,2014
